"시도교육청","교육지원청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","1학년","2학년","3학년","4학년","5학년","6학년","주당평균수업시수(교사 1인당)","주당수업시수","수업교원수"
"경기도교육청","경기도광명교육지원청","경기도 광명시","S090001201","광명광덕초등학교","02","공립","N","","190","190","190","190","190","190","21.4","728","34"
"경기도교육청","경기도광명교육지원청","경기도 광명시","S090001202","광명광성초등학교","02","공립","N","","190","190","190","190","190","190","20.9","710","34"
"경기도교육청","경기도광명교육지원청","경기도 광명시","S090001203","광명남초등학교","02","공립","N","","190","190","190","190","190","190","21.0","630","30"
"경기도교육청","경기도광명교육지원청","경기도 광명시","S090001204","광명동초등학교","02","공립","N","","190","190","190","190","190","190","22.9","206","9"
"경기도교육청","경기도광명교육지원청","경기도 광명시","S090001205","광명북초등학교","02","공립","N","","190","190","190","190","190","190","23.2","650","28"
"경기도교육청","경기도광명교육지원청","경기도 광명시","S090001206","광명서초등학교","02","공립","N","","190","190","190","190","190","190","20.0","660","33"
"경기도교육청","경기도광명교육지원청","경기도 광명시","S090001207","광명초등학교","02","공립","N","","190","190","190","190","190","190","22.8","729","32"
"경기도교육청","경기도광명교육지원청","경기도 광명시","S090001208","광문초등학교","02","공립","N","","190","190","190","190","190","190","21.7","956","44"
"경기도교육청","경기도광명교육지원청","경기도 광명시","S090001210","광일초등학교","02","공립","N","","190","190","190","190","190","190","21.0","694","33"
"경기도교육청","경기도광명교육지원청","경기도 광명시","S090001211","도덕초등학교","02","공립","N","","191","191","191","191","191","191","20.1","523","26"
"경기도교육청","경기도광명교육지원청","경기도 광명시","S090001212","서면초등학교","02","공립","N","","190","190","190","190","190","190","20.8","437","21"
"경기도교육청","경기도광명교육지원청","경기도 광명시","S090001213","소하초등학교","02","공립","N","","190","190","190","190","190","190","22.2","954","43"
"경기도교육청","경기도광명교육지원청","경기도 광명시","S090001214","안서초등학교","02","공립","N","","190","190","190","190","190","190","21.6","194","9"
"경기도교육청","경기도광명교육지원청","경기도 광명시","S090001215","연서초등학교","02","공립","N","","190","190","190","190","190","190","20.8","416","20"
"경기도교육청","경기도광명교육지원청","경기도 광명시","S090001216","온신초등학교","02","공립","N","","190","190","190","190","190","190","21.3","170","8"
"경기도교육청","경기도광명교육지원청","경기도 광명시","S090001217","철산초등학교","02","공립","N","","190","190","190","190","190","190","21.9","1489","68"
"경기도교육청","경기도광명교육지원청","경기도 광명시","S090001218","하안남초등학교","02","공립","N","","190","190","190","190","190","190","19.1","306","16"
"경기도교육청","경기도광명교육지원청","경기도 광명시","S090001219","하안북초등학교","02","공립","N","","190","190","190","190","190","190","20.4","367","18"
"경기도교육청","경기도광명교육지원청","경기도 광명시","S090001220","하안초등학교","02","공립","N","","190","190","190","190","190","190","19.8","436","22"
"경기도교육청","경기도광명교육지원청","경기도 광명시","S090001221","하일초등학교","02","공립","N","","190","190","190","190","190","190","20.7","373","18"
"경기도교육청","경기도광주하남교육지원청","경기도 광주시","S090001279","경안초등학교","02","공립","N","","190","190","190","190","190","190","20.8","415","20"
"경기도교육청","경기도광주하남교육지원청","경기도 광주시","S090001281","곤지암초등학교","02","공립","N","","190","190","190","190","190","190","22.7","523","23"
"경기도교육청","경기도광주하남교육지원청","경기도 광주시","S090001282","광남초등학교","02","공립","N","","190","190","190","190","190","190","21.7","1061","49"
"경기도교육청","경기도광주하남교육지원청","경기도 광주시","S090001284","광주광명초등학교","02","공립","N","","190","190","190","190","190","190","21.1","927","44"
"경기도교육청","경기도광주하남교육지원청","경기도 광주시","S090001285","광주매곡초등학교","02","공립","N","","190","190","190","190","190","190","22.4","1144","51"
"경기도교육청","경기도광주하남교육지원청","경기도 광주시","S090001286","광주초등학교","02","공립","N","","190","190","190","190","190","190","21.6","1121","52"
"경기도교육청","경기도광주하남교육지원청","경기도 광주시","S090001288","광지원초등학교","02","공립","N","","190","190","190","190","190","190","21.5","172","8"
"경기도교육청","경기도광주하남교육지원청","경기도 광주시","S090001289","남한산초등학교","02","공립","N","","190","190","190","190","190","190","19.1","134","7"
"경기도교육청","경기도광주하남교육지원청","경기도 하남시","S090001290","덕풍초등학교","02","공립","N","","190","190","190","190","190","190","22.4","627","28"
"경기도교육청","경기도광주하남교육지원청","경기도 광주시","S090001291","도곡초등학교","02","공립","N","","190","190","190","190","190","190","22.8","934","41"
"경기도교육청","경기도광주하남교육지원청","경기도 광주시","S090001292","도궁초등학교","02","공립","N","","190","190","190","190","190","190","22.9","160","7"
"경기도교육청","경기도광주하남교육지원청","경기도 광주시","S090001293","도수초등학교","02","공립","N","","190","190","190","190","190","190","22.0","573","26"
"경기도교육청","경기도구리남양주교육지원청","경기도 남양주시","S090001294","도심초등학교","02","공립","N","","190","190","190","190","190","190","21.5","473","22"
"경기도교육청","경기도광주하남교육지원청","경기도 광주시","S090001295","도척초등학교","02","공립","N","","190","190","190","190","190","190","19.5","215","11"
"경기도교육청","경기도광주하남교육지원청","경기도 하남시","S090001296","동부초등학교","02","공립","N","","190","190","190","190","190","190","22.6","654","29"
"경기도교육청","경기도광주하남교육지원청","경기도 광주시","S090001298","만선초등학교","02","공립","N","","190","190","190","190","190","190","19.2","173","9"
"경기도교육청","경기도광주하남교육지원청","경기도 하남시","S090001299","망월초등학교","02","공립","N","","190","190","190","190","190","190","21.5","1568","73"
"경기도교육청","경기도광주하남교육지원청","경기도 광주시","S090001301","번천초등학교","02","공립","N","","190","190","190","190","190","190","22.3","156","7"
"경기도교육청","경기도광주하남교육지원청","경기도 광주시","S090001302","분원초등학교","02","공립","N","","190","190","190","190","190","190","22.3","156","7"
"경기도교육청","경기도광주하남교육지원청","경기도 하남시","S090001305","산곡초등학교","02","공립","N","","190","190","190","190","190","190","22.3","156","7"
"경기도교육청","경기도광주하남교육지원청","경기도 광주시","S090001306","삼리초등학교","02","공립","N","","190","190","190","190","190","190","21.7","630","29"
"경기도교육청","경기도광주하남교육지원청","경기도 하남시","S090001307","서부초등학교","02","공립","N","","191","191","191","191","191","191","20.8","250","12"
