"시도교육청","교육지원청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","교장(남)","교장(여)","교장(계)","교감(남)","교감(여)","교감(계)","수석교사(남)","수석교사(여)","수석교사(계)","정교사(1정)(남)","정교사(1정)(여)","정교사(1정)(계)","정교사(2정)(남)","정교사(2정)(여)","정교사(2정)(계)","특수1정(남)","특수1정(여)","특수1정(계)","특수2정(남)","특수2정(여)","특수2정(계)","준교사(남)","준교사(여)","준교사(계)","실기교사(남)","실기교사(여)","실기교사(계)","전문상담교사(남)","전문상담교사(여)","전문상담교사(계)","사서교사(남)","사서교사(여)","사서교사(계)","보건교사(남)","보건교사(여)","보건교사(계)","영양교사(남)","영양교사(여)","영양교사(계)","해당없음(남)","해당없음(여)","해당없음(계)","계(남)","계(여)","계"
"경기도교육청","경기도안산교육지원청","경기도 안산시 단원구","S090005394","단원중학교","03","공립","N","","2","0","2","0","0","0","0","0","0","6","21","27","5","12","17","1","3","4","1","0","1","0","0","0","0","0","0","0","2","2","0","0","0","0","1","1","0","0","0","0","0","0","15","39","54"
"경기도교육청","경기도파주교육지원청","경기도 파주시","S090005396","두일중학교","03","공립","N","","1","0","1","0","1","1","0","0","0","5","30","35","1","6","7","2","0","2","0","0","0","0","0","0","0","0","0","0","1","1","0","1","1","0","2","2","0","1","1","0","0","0","9","42","51"
"경기도교육청","경기도안성교육지원청","경기도 안성시","S090005398","비룡중학교","03","공립","N","","0","1","1","2","0","2","0","0","0","6","8","14","3","22","25","0","0","0","0","4","4","0","0","0","0","0","0","0","0","0","0","1","1","0","1","1","0","0","0","0","4","4","11","41","52"
"경기도교육청","경기도수원교육지원청","경기도 수원시 권선구","S090005400","서호중학교","03","공립","N","","0","1","1","1","0","1","0","0","0","5","11","16","0","3","3","0","2","2","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","7","18","25"
"경기도교육청","경기도안산교육지원청","경기도 안산시 단원구","S090005401","석수중학교","03","공립","N","","1","0","1","1","0","1","0","0","0","4","11","15","5","7","12","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","11","21","32"
"경기도교육청","경기도안산교육지원청","경기도 안산시 상록구","S090005405","안산성호중학교","03","공립","N","","0","1","1","0","1","1","0","0","0","5","22","27","8","12","20","1","0","1","0","1","1","0","0","0","0","0","0","0","1","1","0","0","0","0","2","2","0","0","0","0","0","0","14","40","54"
"경기도교육청","경기도용인교육지원청","경기도 용인시 처인구","S090005407","용천중학교","03","공립","N","","0","1","1","0","1","1","0","0","0","6","14","20","0","8","8","0","0","0","0","1","1","0","0","0","0","0","0","0","1","1","0","0","0","0","1","1","0","0","0","0","1","1","6","28","34"
"경기도교육청","경기도안양과천교육지원청","경기도 안양시 동안구","S090005409","임곡중학교","03","공립","N","","1","0","1","1","0","1","0","0","0","4","35","39","2","2","4","0","1","1","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","1","1","0","0","0","0","0","0","9","39","48"
"경기도교육청","경기도고양교육지원청","경기도 고양시 일산동구","S090005410","풍동중학교","03","공립","N","","1","1","2","0","0","0","0","0","0","8","31","39","3","9","12","0","0","0","0","1","1","0","0","0","0","0","0","0","1","1","0","0","0","0","1","1","0","1","1","0","2","2","12","47","59"
"경기도교육청","경기도가평교육지원청","경기도 가평군","S090005419","청심국제중학교","03","사립","N","","0","0","0","0","0","0","0","0","0","5","12","17","4","3","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","2","6","13","17","30"
"경기도교육청","경기도안산교육지원청","경기도 안산시 상록구","S090005420","안산해양중학교","03","공립","N","","1","0","1","0","1","1","0","0","0","9","20","29","4","8","12","0","0","0","0","2","2","0","0","0","0","0","0","0","1","1","0","0","0","0","2","2","0","0","0","0","0","0","14","34","48"
"경기도교육청","경기도화성오산교육지원청","경기도 오산시","S090005462","오산원일중학교","03","공립","N","","1","0","1","0","1","1","0","1","1","13","26","39","6","18","24","1","2","3","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","1","0","0","0","0","0","0","21","50","71"
"경기도교육청","경기도용인교육지원청","경기도 용인시 처인구","S090005468","고림중학교","03","공립","N","","1","0","1","1","0","1","0","0","0","8","31","39","4","13","17","0","0","0","0","0","0","1","0","1","0","0","0","1","0","1","0","0","0","0","1","1","0","0","0","0","0","0","16","45","61"
"경기도교육청","경기도수원교육지원청","경기도 수원시 권선구","S090005469","상촌중학교","03","공립","N","","1","0","1","0","1","1","0","0","0","13","33","46","2","10","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","1","0","1","1","0","0","0","16","47","63"
"경기도교육청","경기도화성오산교육지원청","경기도 화성시 병점구","S090005470","기산중학교","03","공립","N","","1","0","1","1","0","1","0","0","0","5","21","26","1","9","10","0","0","0","0","1","1","0","0","0","0","0","0","0","1","1","0","0","0","0","1","1","0","0","0","0","0","0","8","33","41"
"경기도교육청","경기도화성오산교육지원청","경기도 화성시 동탄구","S090005473","석우중학교","03","공립","N","","0","1","1","0","1","1","0","0","0","9","34","43","5","9","14","1","0","1","0","0","0","0","0","0","0","0","0","0","1","1","0","1","1","0","1","1","0","2","2","0","0","0","15","50","65"
"경기도교육청","경기도구리남양주교육지원청","경기도 남양주시","S090005475","어람중학교","03","공립","N","","1","0","1","1","0","1","0","0","0","8","24","32","7","14","21","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","17","40","57"
"경기도교육청","경기도수원교육지원청","경기도 수원시 영통구","S090005477","잠원중학교","03","공립","N","","1","0","1","1","0","1","0","0","0","11","36","47","2","12","14","0","1","1","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1","1","0","0","0","0","0","0","15","51","66"
"경기도교육청","경기도용인교육지원청","경기도 용인시 기흥구","S090005479","보라중학교","03","공립","N","","0","1","1","0","1","1","0","0","0","8","47","55","3","9","12","1","2","3","0","0","0","0","0","0","0","0","0","0","2","2","0","1","1","0","1","1","0","0","0","0","0","0","12","64","76"
