"시도교육청","교육지원청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","1학년 학급수","1학년 학생수","1학년 학급당 학생수","2학년 학급수","2학년 학생수","2학년 학급당 학생수","3학년 학급수","3학년 학생수","3학년 학급당 학생수","특수학급 학급수","특수학급 학생수","특수학급 학급당 학생수","순회학급 학급수","순회학급 학생수","순회학급 학급당 학생수","학급수(계)","학생수(계)","학급당 학생수(계)","교사수","수업교원 1인당 학생수"
"경기도교육청","경기도부천교육지원청","경기도 부천시 소사구","S090007115","옥길중학교","03","공립","N","","11","305","27.7","9","254","28.2","11","310","28.2","1","5","5","0","0","0","32","874","27.3","56","15.6"
"경기도교육청","경기도안양과천교육지원청","경기도 안양시 만안구","S090007124","박달중학교","03","공립","N","","6","167","27.8","6","140","23.3","8","196","24.5","2","12","6","0","0","0","22","515","23.4","36","14.3"
"경기도교육청","경기도화성오산교육지원청","","S090007127","다원중학교","03","공립","N","","12","403","33.6","12","422","35.2","12","419","34.9","0","0","0","0","0","0","36","1244","34.6","63","19.7"
"경기도교육청","경기도구리남양주교육지원청","경기도 구리시","S090007157","갈매중학교","03","공립","N","","9","291","32.3","9","260","28.9","7","202","28.9","1","4","4","0","0","0","26","757","29.1","44","17.2"
"경기도교육청","경기도광주하남교육지원청","경기도 하남시","S090007158","윤슬중학교","03","공립","N","","13","411","31.6","14","431","30.8","12","381","31.8","1","5","5","0","0","0","40","1228","30.7","70","17.5"
"경기도교육청","경기도화성오산교육지원청","경기도 화성시 만세구","S090007189","송린중학교","03","공립","N","","13","339","26.1","11","307","27.9","10","277","27.7","2","8","4","0","0","0","36","931","25.9","61","15.3"
"경기도교육청","경기도화성오산교육지원청","경기도 화성시 동탄구","S090007219","청림중학교","03","공립","N","","12","397","33.1","12","398","33.2","11","365","33.2","1","6","6","0","0","0","36","1166","32.4","62","18.8"
"경기도교육청","경기도평택교육지원청","경기도 평택시","S090007237","용이중학교","03","공립","N","","9","276","30.7","13","395","30.4","9","317","35.2","2","16","8","0","0","0","33","1004","30.4","57","17.6"
"경기도교육청","경기도구리남양주교육지원청","경기도 남양주시","S090007238","남양주다산중학교","03","공립","N","","11","354","32.2","8","263","32.9","15","490","32.7","1","3","3","0","0","0","35","1110","31.7","62","17.9"
"경기도교육청","경기도화성오산교육지원청","경기도 화성시 동탄구","S090007242","동탄목동중학교","03","공립","N","","12","409","34.1","12","406","33.8","12","395","32.9","0","0","0","0","0","0","36","1210","33.6","64","18.9"
"경기도교육청","경기도광주하남교육지원청","경기도 광주시","S090007253","매양중학교","03","공립","N","","10","291","29.1","11","298","27.1","11","319","29","1","6","6","0","0","0","33","914","27.7","57","16"
